index,model,variable,role,type,value
77,anthropic_claude-3-5-haiku-20241022,initial_weight,argument,float,97
77,anthropic_claude-3-5-haiku-20241022,weight_loss_per_month,argument,float,3
77,anthropic_claude-3-5-haiku-20241022,months_until_fight,argument,int,4
77,anthropic_claude-3-5-haiku-20241022,total_weight_loss,intermediate,int,12
77,anthropic_claude-3-5-haiku-20241022,answer,final,int,85
77,openai_gpt-4.1-mini,current_weight,argument,int,97
77,openai_gpt-4.1-mini,months_until_fight,argument,int,4
77,openai_gpt-4.1-mini,weight_loss_per_month,argument,int,3
77,openai_gpt-4.1-mini,total_weight_loss,intermediate,int,12
77,openai_gpt-4.1-mini,weight_on_fight_day,intermediate,int,85
77,openai_gpt-4.1-mini,answer,final,int,85
77,google_gemini-2.0-flash-thinking-exp,initial_weight,argument,int,97
77,google_gemini-2.0-flash-thinking-exp,months_until_fight,argument,int,4
77,google_gemini-2.0-flash-thinking-exp,weight_loss_per_month,argument,int,3
77,google_gemini-2.0-flash-thinking-exp,total_weight_loss,intermediate,int,12
77,google_gemini-2.0-flash-thinking-exp,final_weight,intermediate,int,85
77,google_gemini-2.0-flash-thinking-exp,answer,final,int,85
77,google_gemini-2.5-flash-lite-preview-06-17,current_weight,argument,int,97
77,google_gemini-2.5-flash-lite-preview-06-17,months_until_fight,argument,int,4
77,google_gemini-2.5-flash-lite-preview-06-17,weight_loss_per_month,argument,int,3
77,google_gemini-2.5-flash-lite-preview-06-17,total_weight_loss,intermediate,int,12
77,google_gemini-2.5-flash-lite-preview-06-17,final_weight,intermediate,int,85
77,google_gemini-2.5-flash-lite-preview-06-17,answer,final,int,85
77,google_gemini-2.5-flash,initial_weight_kg,argument,int,97
77,google_gemini-2.5-flash,months_to_fight,argument,int,4
77,google_gemini-2.5-flash,weight_loss_per_month_kg,argument,int,3
77,google_gemini-2.5-flash,total_weight_loss_kg,intermediate,int,12
77,google_gemini-2.5-flash,final_weight_kg,intermediate,int,85
77,google_gemini-2.5-flash,answer,final,int,85
