provider,model,index,time_s,status,utc_completed,input_tokens,output_tokens,cached_tokens
anthropic,claude-3-5-haiku-20241022,1,2.317,Success,2025-06-24T01:05:03,142,142,0
openai,gpt-4.1-mini,1,2.318,Success,2025-06-24T01:05:03,3163,121,3072
google,gemini-2.0-flash-thinking-exp,1,2.319,Success,2025-06-24T01:05:03,3601,132,0
google,gemini-2.5-flash-lite-preview-06-17,1,2.32,Success,2025-06-24T01:05:03,3601,128,0
google,gemini-2.5-flash,1,2.32,Success,2025-06-24T01:05:03,3601,133,0
anthropic,claude-3-5-haiku-20241022,2,4.67,Success,2025-06-24T01:05:05,201,225,0
openai,gpt-4.1-mini,2,4.671,Success,2025-06-24T01:05:05,3223,136,3200
google,gemini-2.0-flash-thinking-exp,2,4.671,Success,2025-06-24T01:05:05,3672,201,0
google,gemini-2.5-flash-lite-preview-06-17,2,4.671,Success,2025-06-24T01:05:05,3672,225,0
google,gemini-2.5-flash,2,4.671,Success,2025-06-24T01:05:05,3672,214,0
anthropic,claude-3-5-haiku-20241022,0,4.733,Success,2025-06-24T01:05:05,138,175,0
openai,gpt-4.1-mini,0,4.733,Success,2025-06-24T01:05:05,3162,120,3072
google,gemini-2.0-flash-thinking-exp,0,4.734,Success,2025-06-24T01:05:05,3600,151,0
google,gemini-2.5-flash-lite-preview-06-17,0,4.734,Success,2025-06-24T01:05:05,3600,137,0
google,gemini-2.5-flash,0,4.734,Success,2025-06-24T01:05:05,3600,125,0
anthropic,claude-3-5-haiku-20241022,3,6.687,Success,2025-06-24T01:05:07,223,222,0
openai,gpt-4.1-mini,3,6.689,Success,2025-06-24T01:05:07,3243,154,3200
google,gemini-2.0-flash-thinking-exp,3,6.69,Success,2025-06-24T01:05:07,3696,189,0
google,gemini-2.5-flash-lite-preview-06-17,3,6.69,Success,2025-06-24T01:05:07,3696,262,0
google,gemini-2.5-flash,3,6.69,Success,2025-06-24T01:05:07,3696,257,0
anthropic,claude-3-5-haiku-20241022,4,8.106,Success,2025-06-24T01:05:09,146,221,0
openai,gpt-4.1-mini,4,8.107,Success,2025-06-24T01:05:09,3172,161,3072
google,gemini-2.0-flash-thinking-exp,4,8.107,Success,2025-06-24T01:05:09,3613,217,0
google,gemini-2.5-flash-lite-preview-06-17,4,8.108,Success,2025-06-24T01:05:09,3613,201,0
google,gemini-2.5-flash,4,8.108,Success,2025-06-24T01:05:09,3613,215,0
